character_name,url,first_name
Ezio Rodriguez ,https://expanse.fandom.com/wiki/Ezio_Rodriguez_(Books),Ezio
Tilly Fagan ,https://expanse.fandom.com/wiki/Tilly_Fagan_(Books),Tilly
Father Michel,https://expanse.fandom.com/wiki/Father_Michel,Father Michel
Fong ,https://expanse.fandom.com/wiki/Fong_(Books),Fong
Foster Sales,https://expanse.fandom.com/wiki/Foster_Sales,Foster
Gabby Smalls ,https://expanse.fandom.com/wiki/Gabby_Smalls_(Books),Gabby
Nancy Gao ,https://expanse.fandom.com/wiki/Nancy_Gao_(Books),Nancy
Shed Garvey ,https://expanse.fandom.com/wiki/Shed_Garvey_(Books),Shed
Gary Bisset ,https://expanse.fandom.com/wiki/Gary_Bisset_(Books),Gary
George Li,https://expanse.fandom.com/wiki/George_Li,George
Gia,https://expanse.fandom.com/wiki/Gia,Gia
Giselle,https://expanse.fandom.com/wiki/Giselle,Giselle
Givens,https://expanse.fandom.com/wiki/Givens,Givens
Rini Glaudin,https://expanse.fandom.com/wiki/Rini_Glaudin,Rini
Gomez ,https://expanse.fandom.com/wiki/Gomez_(Books),Gomez
Liang Goodfortune ,https://expanse.fandom.com/wiki/Liang_Goodfortune_(Books),Liang
Gor Droga,https://expanse.fandom.com/wiki/Gor_Droga,Gor
Gourab ,https://expanse.fandom.com/wiki/Gourab_(Books),Gourab
Governor Kwan ,https://expanse.fandom.com/wiki/Governor_Kwan_(Books),Governor
Graves,https://expanse.fandom.com/wiki/Graves,Graves
Grover Balakrishnan,https://expanse.fandom.com/wiki/Grover_Balakrishnan,Grover
Guthrie,https://expanse.fandom.com/wiki/Guthrie,Guthrie
Alonzo Guzman,https://expanse.fandom.com/wiki/Alonzo_Guzman,Alonzo
Hardberger ,https://expanse.fandom.com/wiki/Hardberger_(Books),Hardberger
Harshaan Lee,https://expanse.fandom.com/wiki/Harshaan_Lee,Harshaan
Dimitri Havelock ,https://expanse.fandom.com/wiki/Dimitri_Havelock_(Books),Dimitri
Kaarlo Henderson-Charles ,https://expanse.fandom.com/wiki/Kaarlo_Henderson-Charles_(Books),Kaarlo
Hinekiri Brown ,https://expanse.fandom.com/wiki/Hinekiri_Brown_(Books),Hinekiri
Hogan,https://expanse.fandom.com/wiki/Hogan,Hogan
James Holden ,https://expanse.fandom.com/wiki/James_Holden_(Books),James
Taryn Hong ,https://expanse.fandom.com/wiki/Taryn_Hong_(Books),Taryn
Payne Houston ,https://expanse.fandom.com/wiki/Payne_Houston_(Books),Payne
Hutch ,https://expanse.fandom.com/wiki/Hutch_(Books),Hutch
Jason Ilich,https://expanse.fandom.com/wiki/Jason_Ilich,Jason
Imari,https://expanse.fandom.com/wiki/Imari,Imari
Filip Inaros ,https://expanse.fandom.com/wiki/Filip_Inaros_(Books),Filip
Marco Inaros ,https://expanse.fandom.com/wiki/Marco_Inaros_(Books),Jim
Iwasa ,https://expanse.fandom.com/wiki/Iwasa_(Books),Iwasa
Jackson ,https://expanse.fandom.com/wiki/Jackson_(Books),Jackson
Jakulski,https://expanse.fandom.com/wiki/Jakulski,Jakulski
Jandro ,https://expanse.fandom.com/wiki/Jandro_(Books),Jandro
Jasira,https://expanse.fandom.com/wiki/Jasira,Jasira
Jehon Dzurban,https://expanse.fandom.com/wiki/Jehon_Dzurban,Jehon
Jen Lively,https://expanse.fandom.com/wiki/Jen_Lively,Jen
Jianguo ,https://expanse.fandom.com/wiki/Jianguo_(Books),Jianguo
Jila Sorormaya,https://expanse.fandom.com/wiki/Jila_Sorormaya,Jila
Jillian Houston ,https://expanse.fandom.com/wiki/Jillian_Houston_(Books),Jillian
Fred Johnson ,https://expanse.fandom.com/wiki/Fred_Johnson_(Books),Fred
Jones ,https://expanse.fandom.com/wiki/Jones_(Books),Jones
Jordao ,https://expanse.fandom.com/wiki/Jordao_(Books),Jordao
Josep ,https://expanse.fandom.com/wiki/Josep_(Books),Josep
Joseph,https://expanse.fandom.com/wiki/Joseph,Joseph
Josie,https://expanse.fandom.com/wiki/Josie,Josie
Juarez ,https://expanse.fandom.com/wiki/Juarez_(Books),Juarez
Manéo Jung-Espinoza ,https://expanse.fandom.com/wiki/Man%C3%A9o_Jung-Espinoza_(Books),Manéo
Alex Kamal ,https://expanse.fandom.com/wiki/Alex_Kamal_(Books),Alex
Rohi Kamal,https://expanse.fandom.com/wiki/Rohi_Kamal,Rohi
Kanter ,https://expanse.fandom.com/wiki/Kanter_(Books),Kanter
Karal ,https://expanse.fandom.com/wiki/Karal_(Books),Karal
Kasik,https://expanse.fandom.com/wiki/Kasik,Kasik
Katoa Merton ,https://expanse.fandom.com/wiki/Katoa_Merton_(Books),Katoa
Katria Mendez,https://expanse.fandom.com/wiki/Katria_Mendez,Katria
Ian Kefilwe,https://expanse.fandom.com/wiki/Ian_Kefilwe,Ian
Kelly ,https://expanse.fandom.com/wiki/Kelly_(Books),Kelly
Kenzi ,https://expanse.fandom.com/wiki/Kenzi_(Books),Kenzi
Kibushi ,https://expanse.fandom.com/wiki/Kibushi_(Books),Kibushi
Kiki ,https://expanse.fandom.com/wiki/Kiki_(Books),Kiki
Acacia Kindermann,https://expanse.fandom.com/wiki/Acacia_Kindermann,Acacia
Kip,https://expanse.fandom.com/wiki/Kip,Kip
Kit Kamal,https://expanse.fandom.com/wiki/Kit_Kamal,Kit
Muhammed Klein ,https://expanse.fandom.com/wiki/Muhammed_Klein_(Books),Muhammed
Kofi ,https://expanse.fandom.com/wiki/Kofi_(Books),Kofi
Konecheck ,https://expanse.fandom.com/wiki/Konecheck_(Books),Konecheck
