,source,target,value
465,Alex,Kaarlo,5
466,Bobbie,Fermín,1
467,Miral,Naomi,59
468,Karal,Miral,48
469,Josie,Karal,11
470,Josie,Naomi,14
471,Filip,Karal,62
472,Karal,Naomi,43
473,Alex,Cyn,11
474,Clarissa,Konecheck,21
475,Amos,Konecheck,125
476,Clarissa,Fred,26
477,Amos,Sullivan,46
478,Morris,Sullivan,14
479,Amos,Morris,46
480,Konecheck,Morris,55
481,Konecheck,Sullivan,57
482,Konecheck,Rona,41
483,Morris,Rona,33
484,Amos,Rona,89
485,Rona,Sullivan,11
486,Clarissa,Rona,25
487,Cyn,Filip,6
488,Filip,Jim,18
489,Clarissa,Morris,19
490,Lydia,Rona,4
491,Konecheck,Lydia,4
492,Alex,Chrisjen,3
493,Fred,William,5
494,Aaman,Naomi,7
495,Chuchu,Karal,5
496,Bobbie,Lydia,4
497,Alex,Choudhary,4
498,Bobbie,Choudhary,4
499,Cyn,Miral,2
500,Arnold,Foster,8
501,Arnold,Chava,6
502,Chava,Sandra,10
503,Sandra,Zach,6
504,Gor,Zach,12
505,Gor,Maura,11
506,Foster,Monica,3
507,Jim,Miral,3
508,Alex,Maura,5
509,Chava,Naomi,180
510,Amos,Sandra,11
511,Darius,Fred,17
512,Alexander,Darius,27
513,Alexander,Fred,4
514,Alex,Nathan,1
515,Erich,Naomi,11
516,Cyn,Naomi,6
517,Clarissa,Erich,2
518,Arnold,Jim,4
519,Foster,Gor,1
520,Maura,Naomi,17
521,Chava,Foster,4
522,Chava,Fred,10
523,Fred,Maura,10
524,Amos,Natalia,5
525,Amos,Stokes,15
526,Alex,Filip,2
527,Alex,Chava,17
528,Maura,Sandra,6
529,Bobbie,Maura,9
530,Bobbie,Sandra,19
531,Michael,Monica,3
532,Fred,Gor,13
533,Alex,Lydia,3
534,Bobbie,Jim,206
535,Cyn,Jim,3
536,Sauveterre,Tom,3
537,Bobbie,Clarissa,590
538,Evans,Michio,159
539,Michio,Oksana,223
540,Evans,Oksana,85
541,Michio,Rosenfeld,22
542,Filip,Rosenfeld,72
543,Karal,Rosenfeld,27
544,Jakulski,Salis,94
545,Roberts,Salis,112
546,Roberts,Vandercaust,161
547,Jakulski,Vandercaust,19
548,Jakulski,Roberts,38
549,Salis,Vandercaust,60
550,Michio,Vandercaust,7
551,Josep,Michio,71
552,Fred,Josep,1
553,Bertold,Josep,40
554,Bertold,Evans,14
555,Josep,Rosenfeld,6
556,Josep,Oksana,29
557,Filip,Michio,6
558,Anton,Tom,6
559,Dimitri,Joseph,11
560,Joseph,Naomi,4
561,Anton,Dimitri,6
562,Alex,Anton,6
563,Bertold,Oksana,30
564,Evans,Josep,23
565,Bertold,Michio,87
566,Alex,Sandra,61
567,Dimitri,Tom,5
568,Mei,Natalia,75
569,Alex,Arnold,11
